province,district,division,location,sublocation,male,female,total,households,area_sqkm,density
WESTERN,BUNGOMA WEST,CHWELE,CHWELE,SIKULU,2143,2317,4460,845,8.16,546.7
WESTERN,BUNGOMA WEST,CHWELE,MUKUYUNI,KIBICHORI,3247,3321,6568,1305,11.39,576.83
WESTERN,BUNGOMA WEST,CHWELE,MUKUYUNI,KUYWA,5404,5690,11094,2107,19.13,579.87
WESTERN,BUNGOMA WEST,CHWELE,MUKUYUNI,MUKUYUNI,2933,3115,6048,1206,9.89,611.74
WESTERN,BUNGOMA WEST,MALAKISI,LWANDANYI,CHEBUKUYI,3888,4020,7908,1671,14.76,535.77
WESTERN,BUNGOMA WEST,MALAKISI,LWANDANYI,MAYEKWE,3169,3308,6477,1317,11.02,587.86
WESTERN,BUNGOMA WEST,MALAKISI,MALAKISI,BUKOKHOLO,2029,2223,4252,878,9.06,469.24
WESTERN,BUNGOMA WEST,MALAKISI,MALAKISI,BUTONGE,1153,1263,2416,451,6.71,359.79
WESTERN,BUNGOMA WEST,MALAKISI,MALAKISI,MWALIE,1701,1761,3462,754,5.58,620.6
WESTERN,BUNGOMA WEST,MALAKISI,MALAKISI,SITABICHA,2066,2226,4292,824,9.75,440.21
WESTERN,BUNGOMA WEST,MALAKISI,MALAKISI,TAMULEGA,1504,1607,3111,572,8.13,382.48
WESTERN,BUNGOMA WEST,MALAKISI,NAMUBILA,MACHAKHA,2540,2685,5225,1028,12.97,402.78
WESTERN,BUNGOMA WEST,MALAKISI,NAMUBILA,WAMONO,4587,4740,9327,1811,23.37,399.05
WESTERN,BUNGOMA WEST,NALONDO,KABUCHAI,KABUCHAI,5036,5449,10485,1972,19.05,550.53
WESTERN,BUNGOMA WEST,NALONDO,KABUCHAI,KISIWA,6431,6794,13225,2552,22.54,586.82
WESTERN,BUNGOMA WEST,NALONDO,LUUYA,BWAKE,5543,5797,11340,2079,21.21,534.67
WESTERN,BUNGOMA WEST,NALONDO,LUUYA,LUUYA,6741,6877,13618,2486,26.09,521.97
WESTERN,BUNGOMA WEST,NALONDO,NORTH BUKUSU,MUKHWEYA,3347,3318,6665,1247,12.76,522.49
WESTERN,BUNGOMA WEST,NALONDO,NORTH BUKUSU,NORTH NALONDO,4382,4800,9182,1797,16.34,561.85
WESTERN,BUNGOMA WEST,NALONDO,SIRARE,WEST NALONDO,9845,10060,19905,3770,32.4,614.37
WESTERN,BUNGOMA WEST,SIRISIA,NAMWELA,CENTRAL NAMWELA,3686,3916,7602,1478,9.72,781.78
