ward_code,ward_name
980,CHEMANER
981,SILIBWET TOWNSHIP
982,NDARAWETA
983,SINGORWET
984,CHESOEN
985,MUTARAKWA
986,CHEPCHABAS
987,KIMULOT
988,MOGOGOSIEK
989,BOITO
990,EMBOMOS
991,MAUTUMA
992,LUGARI
993,LUMAKANDA
994,CHEKALINI
995,CHEVAYWA
996,LWANDETI
997,LIKUYANI
998,SANGO
999,KONGONI
1000,NZOIA
1001,SINOKO
1002,WEST KABRAS
1003,CHEMUCHE
1004,EAST KABRAS
1005,BUTALI/CHEGULO
1006,MANDA-SHIVANGA
1007,SHIRUGU-MUGAI
1008,SOUTH KABRAS
1009,BUTSOTSO EAST
1010,BUTSOTSO SOUTH
1011,BUTSOTSO CENTRAL
1012,SHEYWE
1013,MAHIAKALO
1014,SHIRERE
1015,INGOSTSE-MATHIA
1016,SHINOYI-SHIKOMARI-ESUMEYIA
1017,BUNYALA WEST
1018,BUNYALA EAST
1019,BUNYALA CENTRAL
1020,MUMIAS CENTRAL
1021,MUMIAS NORTH
1022,ETENJE
1023,MUSANDA
1024,LUSHEYA/LUBINU
1025,MALAHA/ISONGO/MAKUNGA
1026,EAST WANGA
1027,KOYONZO
1028,KHOLERA
1029,KHALABA
1030,MAYONI
1031,NAMAMALI
1032,MARAMA WEST
1033,MARAMA CENTRAL
1034,MARENYO - SHIANDA
1035,MARAMA NORTH
1036,MARAMA SOUTH
1037,KISA NORTH
1038,KISA EAST
1039,KISA WEST
1040,KISA CENTRAL
1041,ISUKHA NORTH
1042,MURHANDA
1043,ISUKHA CENTRAL
1044,ISUKHA SOUTH
1045,ISUKHA EAST
1046,ISUKHA WEST
1047,IDAKHO SOUTH
1048,IDAKHO EAST
1049,IDAKHO NORTH
1050,IDAKHO CENTRAL
1051,LUGAGA-WAMULUMA
1052,SOUTH MARAGOLI
1053,CENTRAL MARAGOLI
1054,MUNGOMA
1055,LYADUYWA/IZAVA
1056,WEST SABATIA
1057,CHAVAKALI
1058,NORTH MARAGOLI
1059,WODANGA
1060,BUSALI
1061,SHIRU
1062,GISAMBAI
1063,SHAMAKHOKHO
1064,BANJA
1065,MUHUDU
1066,TAMBUA
1067,JEPKOYAI
1068,LUANDA TOWNSHIP
1069,WEMILABI
1070,MWIBONA
1071,LUANDA SOUTH
1072,EMABUNGO
1073,NORTH EAST BUNYORE
1074,CENTRAL BUNYORE
1075,WEST BUNYORE
1076,CHEPTAIS
1077,CHESIKAKI
1078,CHEPYUK
1079,KAPKATENY
1080,KAPTAMA
1081,ELGON
1082,NAMWELA
1083,MALAKISI/SOUTH KULISIRU
1084,LWANDANYI
1085,KABUCHAI/CHWELE
1086,WEST NALONDO
1087,BWAKE/LUUYA
1088,MUKUYUNI
1089,SOUTH BUKUSU
1090,BUMULA
1091,KHASOKO
1092,KABULA
1093,KIMAETI
1094,WEST BUKUSU
1095,SIBOTI
1096,BUKEMBE WEST
1097,BUKEMBE EAST
1098,TOWNSHIP
1099,KHALABA
1100,MUSIKOMA
1101,EAST SANG'ALO
1102,MARAKARU/TUUTI
1103,WEST SANG'ALO
1104,MIHUU
1105,NDIVISI
1106,MARAKA
1107,MISIKHU
1108,SITIKHO
1109,MATULO
1110,BOKOLI
1111,KIBINGEI
1112,KIMILILI
1113,MAENI
1114,KAMUKUYWA
1115,MBAKALO
1116,NAITIRI/KABUYEFWE
1117,MILIMA
1118,NDALU/ TABANI
1119,TONGAREN
1120,SOYSAMBU/ MITUA
1121,MALABA CENTRAL
1122,MALABA NORTH
1123,ANG'URAI SOUTH
1124,ANG'URAI NORTH
1125,ANG'URAI EAST
1126,MALABA SOUTH
1127,ANG'OROM
1128,CHAKOL SOUTH
1129,CHAKOL NORTH
1130,AMUKURA WEST
1131,AMUKURA EAST
1132,AMUKURA CENTRAL
1133,NAMBALE TOWNSHIP
1134,BUKHAYO NORTH/WALTSI
1135,BUKHAYO EAST
1136,BUKHAYO CENTRAL
1137,BUKHAYO WEST
1138,MAYENJE
1139,MATAYOS SOUTH
1140,BUSIBWABO
1141,BURUMBA
1142,MARACHI WEST
1143,KINGANDOLE
1144,MARACHI CENTRAL
1145,MARACHI EAST
1146,MARACHI NORTH
1147,ELUGULU
1148,NAMBOBOTO NAMBUKU
1149,NANGINA
1150,AGENG'A NANGUBA
1151,BWIRI
1152,BUNYALA CENTRAL
1153,BUNYALA NORTH
1154,BUNYALA WEST
1155,BUNYALA SOUTH
1156,WEST UGENYA
1157,UKWALA
1158,NORTH UGENYA
1159,EAST UGENYA
1160,SIDINDI
1161,SIGOMERE
1162,UGUNJA
1163,USONGA
1164,WEST ALEGO
1165,CENTRAL ALEGO
1166,SIAYA TOWNSHIP
1167,NORTH ALEGO
1168,SOUTH EAST ALEGO
1169,NORTH GEM
1170,WEST GEM
1171,CENTRAL GEM
1172,YALA TOWNSHIP
1173,EAST GEM
1174,SOUTH GEM
1175,WEST YIMBO
1176,CENTRAL SAKWA
1177,SOUTH SAKWA
1178,YIMBO EAST
1179,WEST SAKWA
1180,NORTH SAKWA
1181,EAST ASEMBO
1182,WEST ASEMBO
1183,NORTH UYOMA
1184,SOUTH UYOMA
1185,WEST UYOMA
1186,KAJULU
1187,KOLWA EAST
