code,name,slug,location_code,location_name,division_code,district_code,former_province_code,population_2009,population_male,population_female,households,area_km2,density_per_km2
5938,Lolmolog,lolmolog,2295,Suguta Maramar,532,126,RFT,3758,1718,2040,779,199.57,18.83
5939,Suguta Marmar,suguta-marmar,2295,Suguta Maramar,532,126,RFT,4173,1989,2184,929,89.82,46.46
5940,Koiting,koiting,2296,Koiting,533,127,RFT,2003,1014,989,464,536.1,3.74
5941,Lpashie,lpashie,2296,Koiting,533,127,RFT,614,269,345,128,70.57,8.7
5942,Lengei,lengei,2297,Londungokwe,533,127,RFT,975,440,535,221,81.8,11.92
5943,Lpus,lpus,2297,Londungokwe,533,127,RFT,1075,497,578,273,154.08,6.98
5944,Ltrimin,ltrimin,2297,Londungokwe,533,127,RFT,1672,838,834,267,71.04,23.54
5945,Sesia,sesia,2297,Londungokwe,533,127,RFT,2035,896,1139,509,219.55,9.27
5946,Lmarimaroi,lmarimaroi,2298,Naimirimo,533,127,RFT,748,318,430,192,84.81,8.82
5947,Lorok Onyokie,lorok-onyokie,2298,Naimirimo,533,127,RFT,1701,763,938,364,351.76,4.84
5948,Raraiti,raraiti,2298,Naimirimo,533,127,RFT,995,495,500,205,178.42,5.58
5949,Swari,swari,2298,Naimirimo,533,127,RFT,1967,924,1043,457,251.12,7.83
5950,Ngilai Central,ngilai-central,2299,Ngilai Central,533,127,RFT,3158,1657,1501,728,401.4,7.87
5951,Lkisin,lkisin,2300,Ngilai West,533,127,RFT,1564,662,902,386,131.33,11.91
5952,Nkogoltim,nkogoltim,2300,Ngilai West,533,127,RFT,2239,1111,1128,491,527.81,4.24
5953,Nkare Narok,nkare-narok,2301,Nkare Narok,533,127,RFT,2953,1462,1491,526,1026.41,2.88
